search_term,relevance,product_uid
142,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.4, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.0, 3.0, 3.0, 2.8, 2.33, 1.33, 1.0]","[711159484, 711159486, 711159487, 711159489, 711159491, 711159493, 711159496, 711159498, 711159499, 711159501, 711159504, 711159505, 711162607, 711162609, 711162610, 711162611, 711162612, 711162614, 711162615, 711162616, 711162617, 711162618, 711162619, 711162620, 711162621, 711162622, 711162624, 711162625, 711162626, 711162627, 711162628, 711172259, 711172260, 711172261, 711172262, 711172263, 711172264, 711172265, 711172266, 711172267, 711172268, 711172269, 711172270, 711176051, 711176052, 711176053, 711176054, 711176055, 711176056, 711176058, 711176059, 711176060, 711176062, 711176063, 711176064, 711176067, 711176068, 711176069, 711176070, 711159485, 711159488, 711159490, 711159492, 711159494, 711159497, 711159503, 711162613, 711172256, 711172257, 711176057, 711176066, 711172258, 711159495, 711159502, 711159506, 711162608, 711162623, 711176061, 711159483, 711159500, 711176065, 711159482, 711162629, 711162630, 711162631]"
138,"[4.0, 4.0, 4.0, 3.67, 3.67, 3.33, 3.33, 3.2, 3.0, 3.0, 2.67, 2.67, 2.67, 2.4, 2.33, 2.33, 2.33, 2.33, 2.33, 2.33, 2.0, 2.0, 2.0, 2.0, 1.67, 1.67]","[711164485, 711173764, 711173765, 711178431, 711178450, 711164484, 711178432, 711178438, 711178433, 711178445, 711173766, 711178440, 711178446, 711178443, 711164486, 711178434, 711178435, 711178436, 711178442, 711178449, 711178437, 711178439, 711178444, 711178448, 711178441, 711178447]"
118,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.75, 3.4, 3.33, 3.33, 3.33, 3.33, 3.33, 3.0, 3.0, 2.8, 2.8, 2.67, 2.67, 2.4, 2.4, 2.33, 2.33, 2.2, 2.2, 2.0, 1.88, 1.67, 1.67, 1.67, 1.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[711159309, 711159311, 711159316, 711159317, 711159319, 711159320, 711159321, 711159322, 711159324, 711159327, 711159329, 711159330, 711159331, 711159323, 711159313, 711159312, 711159314, 711159318, 711175805, 711175806, 711159315, 711159326, 711159310, 711175818, 711159308, 711175804, 711175808, 711175817, 711159307, 711159325, 711175811, 711175821, 711175815, 711175812, 711159328, 711175807, 711175822, 711175814, 711175809, 711175810, 711175813, 711175816, 711175819, 711175820, 711175823]"
129,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.75, 3.67, 3.67, 3.67, 3.67, 3.33, 3.0, 3.0, 3.0, 2.8, 2.8, 2.8, 2.33, 1.67, 1.33, 1.33]","[711171504, 711171505, 711171506, 711171507, 711171510, 711171511, 711171514, 711171515, 711171516, 711171517, 711171518, 711174811, 711174814, 711174815, 711174817, 711174818, 711174820, 711174821, 711174823, 711174826, 711174824, 711171503, 711174816, 711174819, 711174822, 711171509, 711171508, 711171513, 711174810, 711174812, 711174813, 711174825, 711171512, 711174828, 711174827, 711174829]"
233,"[2.67, 2.33, 2.33, 2.33, 2.33, 2.33, 2.33, 2.2, 2.0, 2.0, 2.0, 2.0, 2.0, 1.67, 1.67, 1.67, 1.6, 1.33, 1.33, 1.33]","[711174361, 711174358, 711174360, 711174364, 711174367, 711174370, 711174376, 711174362, 711174363, 711174365, 711174369, 711174373, 711174374, 711174359, 711174368, 711174377, 711174375, 711174366, 711174371, 711174372]"
187,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.67, 3.67, 3.67, 3.67, 3.33, 3.0, 2.67, 2.67, 2.67, 2.29, 2.2, 2.0, 1.8, 1.67, 1.67, 1.67, 1.67, 1.67, 1.33, 1.0, 1.0, 1.0, 1.0, 1.0]","[711159942, 711159943, 711159944, 711159945, 711159946, 711159948, 711159950, 711159951, 711159953, 711159954, 711159956, 711159957, 711159958, 711159959, 711159961, 711159962, 711159963, 711159965, 711163673, 711173056, 711177100, 711177101, 711159952, 711159955, 711159960, 711159966, 711159964, 711177102, 711159947, 711159949, 711177103, 711177118, 711177105, 711177108, 711177109, 711177104, 711177106, 711177107, 711177110, 711177117, 711177113, 711177111, 711177112, 711177114, 711177115, 711177116]"
44,"[4.0, 3.67, 3.33, 3.33, 3.2, 3.0, 3.0, 2.8, 2.8, 2.67, 2.67, 2.67, 2.67, 2.67, 2.6, 2.5, 2.4, 2.33, 2.33, 2.33, 2.33, 2.33, 2.33, 2.33, 2.2, 2.2, 2.0, 2.0, 2.0, 1.67, 1.33]","[711163734, 711163750, 711163746, 711163748, 711163733, 711163735, 711163737, 711163749, 711177281, 711163745, 711163751, 711163752, 711163753, 711163754, 711163744, 711163747, 711177277, 711163736, 711163739, 711163742, 711163743, 711163756, 711177276, 711177279, 711163732, 711163740, 711163741, 711163755, 711177280, 711177278, 711163738]"
8,"[3.67, 3.67, 3.33, 3.33, 3.33, 3.0, 3.0, 3.0, 2.8, 2.8, 2.67, 2.67, 2.67, 2.67, 2.6, 2.33, 2.2, 2.14, 2.0, 1.67, 1.67, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[711163963, 711177710, 711163966, 711177705, 711177707, 711163964, 711177711, 711177713, 711177702, 711177703, 711177701, 711177706, 711177709, 711177712, 711177700, 711177708, 711177704, 711163962, 711163965, 711163967, 711163972, 711163968, 711163969, 711163970, 711163971, 711163973, 711163974]"
200,"[4.0, 4.0, 4.0, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.33, 3.2, 3.2, 3.17, 3.0, 3.0, 3.0, 3.0, 3.0, 2.83, 2.8, 2.8, 2.8, 2.8, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.67, 2.43, 2.4, 2.4, 2.33, 2.33, 2.2, 2.17, 2.0, 2.0, 2.0, 2.0, 2.0, 1.8, 1.75, 1.67, 1.67, 1.67, 1.67, 1.33, 1.33, 1.0, 1.0, 1.0]","[711173722, 711178337, 711178353, 711173703, 711173706, 711173709, 711173713, 711173719, 711178338, 711178354, 711178355, 711164407, 711173708, 711173710, 711173715, 711173718, 711178339, 711178341, 711178344, 711178352, 711173705, 711173711, 711173707, 711164408, 711164412, 711164420, 711173717, 711178336, 711178340, 711164413, 711164416, 711173704, 711173720, 711164404, 711164410, 711164414, 711164415, 711164417, 711164418, 711164426, 711164428, 711178346, 711178342, 711173716, 711178347, 711173714, 711178345, 711164423, 711178351, 711164405, 711164419, 711164422, 711178348, 711178350, 711164411, 711164421, 711164406, 711173712, 711173721, 711178349, 711164425, 711178343, 711164409, 711164424, 711164427]"
89,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.75, 3.75, 3.75, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.67, 3.6, 3.4, 3.33, 3.33, 3.33, 3.33, 3.33, 2.67, 2.67, 2.33, 2.2, 2.0, 1.67, 1.67, 1.6, 1.33, 1.33, 1.33, 1.33, 1.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[711158659, 711158660, 711158664, 711158665, 711158668, 711158670, 711158671, 711158672, 711158674, 711158676, 711158677, 711158683, 711161276, 711161277, 711161279, 711161280, 711171419, 711171421, 711174697, 711174700, 711174702, 711174703, 711174704, 711174705, 711174707, 711158678, 711174696, 711174706, 711158661, 711158663, 711158667, 711158669, 711158681, 711158682, 711161278, 711174695, 711174698, 711174699, 711174701, 711158673, 711158662, 711158666, 711158675, 711158679, 711171420, 711161281, 711161290, 711161287, 711158680, 711174714, 711161289, 711161292, 711161286, 711161282, 711161284, 711161285, 711161288, 711161291, 711161283, 711174708, 711174709, 711174710, 711174711, 711174712, 711174713]"
